Source,Site,RSS,City,State,National
Bastrop Daily Enterprise,http://www.bastropenterprise.com/,http://www.bastropenterprise.com/news?template=rss&mime=xml,Bastrop,LA,N
The Advocate,http://theadvocate.com/,http://theadvocate.com/feed?feedName=Politics/Gov%E2%80%99t&feedURL=http://theadvocate.com/news/politics/&publication=Advocate&sections=/news/politics/&areas=Stories&counts=20&feedContentPage=/shared/templates/feeds/rss2.csp,Baton Rouge ,LA,N
Donaldsonville Chief,http://www.donaldsonvillechief.com/,http://www.donaldsonvillechief.com/news?template=rss&mime=xml,Donaldsonville,LA,N
The Houma Courier,http://www.houmatoday.com/,http://www.houmatoday.com/rss/articles/ARTICLES/1211/30,Houma,LA,N
Leesville Daily Leader,http://www.leesvilledailyleader.com/,http://www.leesvilledailyleader.com/news?template=rss&mime=xml,Leesville,LA,N
The Times-Picayune,http://www.nola.com/#/0,http://blog.nola.com/nola_river/atom.xml,New Orleans,LA,N
Ruston Daily Leader,http://www.rustonleader.com/,http://rustonleader.com/rss.xml,Ruston,LA,N
Southwest Daily News,http://www.sulphurdailynews.com/,http://www.sulphurdailynews.com/news?template=rss&mime=xml,Sulphur,LA,N
The Daily Comet,http://www.dailycomet.com/,http://www.dailycomet.com/rss/articles/ARTICLES/1212/30,Thibodaux,LA,N
Bangor Daily News,http://bangordailynews.com/,http://bangordailynews.com/feed/,Bangor ,ME,N
The Times Record,http://www.timesrecord.com/,http://www.timesrecord.com/news.xml,Brunswick,ME,N
The Baltimore Sun,http://www.baltimoresun.com/,http://www.baltimoresun.com/news/maryland/politics/rss2.0.xml,Baltimore,MD,N
Daily Record,http://thedailyrecord.com/,http://thedailyrecord.com/feed/,Baltimore,MD,N
Epoch Times,http://www.theepochtimes.com/,http://www.theepochtimes.com/n3/c/us/us-news/feed/,Rockville,MD,Y
The Herald-Mail,http://www.heraldmailmedia.com/,"http://www.heraldmailmedia.com/search/?q=&t=article&l=100&d=&d1=&d2=&s=start_time&sd=desc&nsa=eedition&c[]=sports,sports/*&f=rss",Hagerstown,MD,N
Kent Island Bay Times,http://www.myeasternshoremd.com/,"http://www.myeasternshoremd.com/search/?q=&t=article&l=100&d=&d1=&d2=&s=start_time&sd=desc&nsa=eedition&c[]=news,news/*&f=rss",Stevensville,MD,N
Athol Daily News,http://www.atholdailynews.com/,http://www.atholdailynews.com/rss.xml,Athol,MA,N
Boston Herald,http://www.bostonherald.com/,http://www.bostonherald.com/feed,Boston,MA,Y
Daily Times Chronicle,http://homenewshere.com/,"http://homenewshere.com/search/?q=&t=article&l=100&d=&d1=&d2=&s=start_time&sd=desc&nsa=eedition&c[]=daily_times_chronicle/news/woburn,daily_times_chronicle/news/woburn/*&f=rss",Woburn,MA,N
The Enterprise,http://www.enterprisenews.com/,http://www.enterprisenews.com/news?template=rss&mime=xml,Brockton,MA,N
The Herald News,http://www.heraldnews.com/,http://www.heraldnews.com/news?template=rss&mime=xml,Fall River,MA,N
MetroWest Daily News,http://www.metrowestdailynews.com/,http://www.metrowestdailynews.com/news?template=rss&mime=xml,Framingham,MA,N
Milford Daily News,http://www.milforddailynews.com/,http://www.milforddailynews.com/news?template=rss&mime=xml,Milford,MA,N
The Patriot Ledger,http://www.patriotledger.com/,http://www.patriotledger.com/news?template=rss&mime=xml,Quincy,MA,N
Sentinel & Enterprise,http://www.sentinelandenterprise.com/,http://feeds.sentinelandenterprise.com/mngi/rss/CustomRssServlet/106/230112.xml,Fitchburg,MA,N
